序号,二级学院,专业名称
1,智能产业学院,人工智能技术应用
2,智能产业学院,工业机器人技术
3,智能产业学院,软件技术
4,智能产业学院,信息安全技术应用
5,智能产业学院,移动互联应用技术
6,智能产业学院,智能产品开发与应用
7,未来技术产业学院,工业互联网应用
8,未来技术产业学院,智能机器人技术
9,未来技术产业学院,智能光电技术应用
10,数据产业学院,大数据技术
11,数据产业学院,云计算技术应用
12,数据产业学院,区块链技术应用
13,数据产业学院,工业软件开发技术
14,现代通信产业学院,现代通信技术
15,现代通信产业学院,现代移动通信技术
16,现代通信产业学院,智能互联网络技术
17,现代通信产业学院,网络规划与优化技术
18,数字金融产业学院,网络营销与直播电商
19,数字金融产业学院,金融服务与管理
20,数字金融产业学院,大数据与会计
21,智能建造产业学院,工程造价
22,智能建造产业学院,建筑室内设计
23,智能建造产业学院,建设工程管理
24,智能建造产业学院,建筑智能化工程技术
25,智能建造产业学院,智能建造技术
26,数字影视传媒产业学院,动漫设计
27,数字影视传媒产业学院,视觉传达设计
28,数字影视传媒产业学院,数字媒体艺术设计
29,数字影视传媒产业学院,网络直播与运营
30,游戏产业学院,电子竞技运动与管理
31,游戏产业学院,动漫制作技术
32,游戏产业学院,产品艺术设计
33,游戏产业学院,虚拟现实技术应用
34,游戏产业学院,数字媒体技术
35,游戏产业学院,游戏艺术设计
36,游戏产业学院,室内艺术设计
